Date,Unit,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
06/21/2011,KW,73.44,73.98,73.62,73.26,71.1,71.37,71.46,73.8,73.08,75.06,76.59,77.13,74.79,77.4,75.51,75.42,73.98,77.04,74.7,79.11,82.62,83.43,88.83,89.91,82.08,89.28,130.77,153,153.81,126.99,143.37,154.89,168.48,172.44,153.72,159.84,165.78,190.71,135.36,160.11,154.89,206.1,166.86,155.07,186.66,204.66,158.22,170.73,200.79,187.83,147.33,157.77,191.61,173.16,154.08,133.74,152.46,142.47,126.18,125.46,142.92,145.8,145.17,124.92,128.79,135.99,143.01,139.32,152.1,139.77,144.81,161.55,159.12,151.83,154.35,135.81,146.07,148.59,139.5,129.51,127.08,125.73,115.74,129.42,124.02,118.17,96.48,89.1,89.91,88.47,87.93,87.75,87.66,86.94,80.46,77.31
06/22/2011,KW,76.14,76.5,77.94,75.42,75.78,73.08,74.79,75.51,74.97,75.24,80.46,78.57,78.3,78.66,77.94,77.76,74.25,74.25,76.32,80.01,87.39,85.59,85.59,85.77,78.12,87.57,112.14,120.42,141.57,120.42,101.07,109.44,125.19,156.15,132.66,132.03,155.61,169.29,159.48,132.3,171.63,182.43,141.48,139.68,173.25,196.47,155.7,140.94,175.5,200.88,176.58,148.95,180.9,211.05,197.64,160.02,158.31,170.82,177.93,166.77,169.38,148.32,138.6,155.97,145.35,143.19,143.64,144.27,132.84,148.77,144.63,146.52,142.92,140.4,133.02,118.35,143.55,143.37,136.26,133.11,118.8,135.18,132.21,127.08,123.66,92.88,86.22,88.74,91.89,87.93,85.5,86.04,84.51,83.97,78.75,77.49
06/23/2011,KW,100.17,100.89,101.25,104.13,100.71,99.27,100.17,103.68,101.07,102.78,102.87,103.14,103.05,102.42,104.94,102.78,102.24,103.68,103.68,109.17,105.84,107.1,105.93,105.12,104.94,104.4,122.4,131.4,162.9,146.88,101.34,105.12,126.27,101.52,104.04,121.77,122.58,119.61,131.76,147.33,119.79,112.5,134.73,156.96,156.6,167.49,135.36,130.95,165.51,170.73,144.72,125.55,152.37,169.56,138.24,116.46,116.46,119.61,124.56,109.8,108.45,126.36,132.57,126.99,100.98,100.8,125.01,125.1,127.17,101.97,101.97,125.91,123.84,118.26,92.07,98.46,120.51,124.29,124.83,106.2,98.46,123.3,120.42,120.51,126.09,101.34,103.77,106.47,110.16,102.06,101.07,102.06,102.33,103.05,103.23,104.04
06/24/2011,KW,68.58,69.84,70.65,71.46,69.39,68.04,69.21,69.48,72.09,69.3,74.07,72.81,73.35,74.88,73.44,71.64,75.69,70.56,71.28,71.28,77.04,77.13,77.22,76.41,68.4,71.1,80.91,84.87,89.19,77.58,72.45,71.1,87.93,72.99,75.78,78.39,81.36,92.43,78.84,81.63,119.52,103.32,96.84,121.59,116.1,81.9,85.68,94.5,101.07,84.51,96.57,123.21,103.5,94.32,118.44,107.82,101.7,90.72,108.54,95.58,87.39,91.35,110.79,118.26,103.05,96.66,108.09,123.84,109.62,101.97,92.07,91.89,83.97,72.72,76.77,93.15,80.46,79.65,69.48,75.33,81.72,76.41,76.32,77.58,75.6,87.66,79.56,73.53,73.62,71.37,72.54,71.37,71.64,71.01,67.23,63.18
06/25/2011,KW,98.64,99.27,98.82,102.33,98.28,97.92,99.18,101.25,101.07,100.62,100.35,101.34,102.69,100.53,101.07,101.7,101.61,100.98,101.52,100.71,100.62,99.09,102.6,101.7,98.19,96.75,94.59,94.77,92.88,94.32,94.05,96.66,97.65,96.57,93.78,94.32,96.12,93.87,93.6,93.87,93.87,91.8,93.42,92.07,96.21,94.86,95.31,92.7,94.23,93.78,92.07,94.14,95.04,95.94,94.32,94.23,93.6,93.78,93.96,94.68,94.05,92.61,95.13,95.22,95.76,94.32,94.95,93.51,95.76,94.14,94.86,95.67,96.12,96.57,95.22,97.74,98.64,96.3,97.56,97.56,97.2,97.29,97.47,99,98.64,99.09,101.61,98.37,100.35,98.73,99.45,100.53,100.26,99.81,99.36,101.34
06/26/2011,KW,62.91,66.15,64.17,65.25,61.92,62.46,61.92,66.6,62.55,62.55,65.79,66.24,66.78,66.96,67.41,65.52,63.63,61.92,62.1,63.81,69.66,69.48,70.11,69.84,62.19,59.85,58.32,58.41,58.41,59.31,55.8,54.72,54,53.64,53.64,53.28,54.9,53.28,54.18,53.37,54.9,55.08,54.72,55.17,54.54,54.27,54.45,56.25,57.78,55.62,55.8,59.85,55.17,56.79,56.34,54.99,55.62,55.26,55.98,54.9,59.04,57.06,59.49,62.19,61.02,62.82,79.11,86.4,82.98,90.36,84.24,92.07,82.35,87.84,92.16,103.68,120.42,114.84,99.36,89.19,83.7,96.48,93.33,79.11,70.56,71.64,72.36,71.64,70.65,69.75,69.93,71.73,71.64,72.18,65.25,64.17
06/27/2011,KW,100.62,101.52,101.7,101.16,99.09,101.07,99.27,100.71,99.54,98.64,99.36,100.08,100.62,102.24,103.23,101.97,101.16,100.62,99.18,97.83,100.98,101.07,99.81,100.44,95.94,98.46,116.64,131.22,154.17,151.56,100.89,111.24,125.55,101.61,128.34,133.65,147.06,134.64,144.36,159.21,156.69,157.77,155.97,158.76,158.31,161.28,149.58,137.34,153.09,154.71,155.34,159.48,155.25,152.55,159.84,144.09,133.83,136.35,142.56,140.85,139.23,141.12,138.69,130.5,120.78,102.51,100.89,102.6,102.51,119.16,117.18,105.39,120.87,129.6,122.22,99.54,101.88,115.38,128.07,108.99,100.26,100.62,111.78,126.27,108.18,104.85,102.87,103.95,107.37,102.6,101.16,105.66,104.58,104.22,102.69,105.3
06/28/2011,KW,102.6,102.51,104.4,105.75,103.5,101.43,102.06,104.22,105.39,104.58,104.04,104.22,102.69,102.87,103.77,102.24,101.07,100.98,101.34,102.69,99.99,102.06,101.61,104.04,102.78,104.13,122.67,135.72,142.83,112.59,102.24,101.97,101.52,110.7,104.4,92.52,146.52,130.68,108.45,109.35,111.78,133.2,141.93,125.19,111.6,120.33,140.22,135.45,109.71,110.52,120.42,148.77,147.15,132.57,126.63,107.64,112.41,116.46,116.55,116.91,118.44,115.11,99.9,100.35,98.37,98.28,98.73,98.82,96.57,96.21,96.21,96.57,116.28,122.4,116.46,117.72,103.68,94.68,96.66,99.45,102.06,116.64,117.18,97.74,98.19,101.52,100.62,103.5,104.22,101.34,101.07,102.6,103.05,104.22,104.22,103.23
06/29/2011,KW,74.25,69.75,72.72,69.48,69.39,68.94,69.93,69.57,70.29,68.94,72,73.44,72.09,72.99,72.18,74.16,69.93,70.74,71.55,70.65,80.46,77.76,77.49,79.65,80.55,83.7,94.95,90.27,85.41,90.45,79.29,76.32,84.51,80.82,89.73,94.41,98.19,101.7,114.48,112.59,101.43,98.01,104.13,102.69,119.61,100.98,99.54,103.59,113.85,99.81,101.52,110.43,120.24,101.97,102.15,110.16,112.5,116.46,111.33,104.94,102.24,96.21,95.49,97.65,96.03,83.34,80.91,82.44,78.21,76.86,77.85,75.33,88.65,88.11,90.45,91.53,94.14,95.22,101.52,104.04,91.53,100.53,101.07,111.42,115.02,110.07,100.17,100.08,79.74,80.19,78.03,79.65,78.21,79.29,75.33,75.06
06/30/2011,KW,101.7,103.32,102.96,104.67,100.17,100.8,101.43,103.68,103.77,103.5,104.76,102.87,101.97,102.6,101.34,104.49,103.41,104.76,103.05,102.87,102.96,102.78,105.03,102.06,101.34,102.6,103.95,103.05,115.74,107.28,96.21,98.19,98.55,97.38,98.73,101.16,127.89,112.68,111.42,112.14,137.16,122.94,113.13,113.49,114.03,129.06,121.77,114.39,121.14,147.33,131.67,114.48,113.13,116.91,136.17,108,104.4,105.03,126.99,121.05,105.39,104.04,103.77,101.16,118.53,112.05,97.38,94.68,95.31,117.81,123.39,116.1,97.02,96.93,115.83,120.6,120.6,117,93.33,95.04,105.12,115.92,115.11,98.19,99.54,101.52,105.48,115.65,113.31,105.12,101.79,101.34,100.98,103.86,102.6,102.42
