Date,meter_id,building_id,Unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
"August 21, 2011",0028931680_02,9575_Partners_LLC,KW,76.32,76.32,72.144,72.144,75.312,75.312,76.248,76.248,80.424,80.424,84.744,84.744,87.048,87.048,75.96,75.96,76.752,76.752,78.048,78.048,77.256,77.256,92.016,92.016,83.304,83.304,76.608,76.608,76.536,76.536,76.68,76.68,87.12,87.12,80.496,80.496,78.84,78.84,80.352,80.352,80.28,80.28,88.992,88.992,75.096,75.096,76.68,76.68,78.912,78.912,85.536,85.536,78.48,78.48,78.984,78.984,86.472,86.472,86.328,86.328,79.344,79.344,76.824,76.824,81.432,81.432,85.68,85.68,74.664,74.664,79.416,79.416,81.288,81.288,94.176,94.176,77.328,77.328,78.84,78.84,80.136,80.136,90.72,90.72,93.024,93.024,79.992,79.992,83.952,83.952,87.48,87.48,88.848,88.848,80.208,80.208
"August 22, 2011",0028931680_02,9575_Partners_LLC,KW,79.704,79.704,81.576,81.576,95.832,95.832,84.96,84.96,80.136,80.136,79.92,79.92,88.488,88.488,91.872,91.872,85.824,85.824,80.856,80.856,91.296,91.296,87.552,87.552,100.512,100.512,115.344,115.344,131.472,131.472,137.592,137.592,165.024,165.024,180.792,180.792,189.288,189.288,193.176,193.176,197.64,197.64,208.368,208.368,205.776,205.776,195.264,195.264,192.6,192.6,195.48,195.48,197.424,197.424,195.912,195.912,193.896,193.896,190.512,190.512,188.64,188.64,190.08,190.08,179.856,179.856,169.632,169.632,156.168,156.168,150.264,150.264,141.408,141.408,140.616,140.616,151.344,151.344,155.52,155.52,130.68,130.68,125.208,125.208,123.048,123.048,119.736,119.736,124.2,124.2,113.544,113.544,105.696,105.696,98.352,98.352
"August 23, 2011",0028931680_02,9575_Partners_LLC,KW,104.04,104.04,92.232,92.232,82.08,82.08,82.44,82.44,83.016,83.016,89.064,89.064,78.336,78.336,76.464,76.464,83.808,83.808,84.096,84.096,75.312,75.312,78.048,78.048,95.4,95.4,108.504,108.504,107.568,107.568,131.328,131.328,168.264,168.264,186.696,186.696,193.032,193.032,206.496,206.496,201.528,201.528,200.808,200.808,202.392,202.392,200.016,200.016,210.312,210.312,204.264,204.264,202.392,202.392,199.944,199.944,206.64,206.64,205.632,205.632,196.344,196.344,195.984,195.984,190.224,190.224,184.536,184.536,164.088,164.088,162.864,162.864,156.816,156.816,142.704,142.704,158.976,158.976,147.528,147.528,139.176,139.176,133.776,133.776,128.304,128.304,133.992,133.992,107.64,107.64,106.92,106.92,99.36,99.36,94.896,94.896
"August 24, 2011",0028931680_02,9575_Partners_LLC,KW,83.016,83.016,76.752,76.752,78.12,78.12,74.88,74.88,86.904,86.904,76.68,76.68,83.448,83.448,72.216,72.216,86.616,86.616,72.288,72.288,82.44,82.44,77.688,77.688,91.44,91.44,103.248,103.248,110.304,110.304,142.92,142.92,171.432,171.432,189.288,189.288,187.848,187.848,189.144,189.144,199.296,199.296,191.88,191.88,191.808,191.808,191.376,191.376,201.168,201.168,189.432,189.432,185.256,185.256,191.376,191.376,194.544,194.544,194.184,194.184,189.792,189.792,182.592,182.592,177.624,177.624,169.056,169.056,163.656,163.656,150.552,150.552,141.624,141.624,154.368,154.368,146.304,146.304,145.584,145.584,131.472,131.472,121.608,121.608,126.216,126.216,112.68,112.68,114.912,114.912,99.216,99.216,104.112,104.112,95.976,95.976
"August 25, 2011",0028931680_02,9575_Partners_LLC,KW,92.448,92.448,89.784,89.784,92.232,92.232,87.552,87.552,88.416,88.416,95.976,95.976,94.392,94.392,93.528,93.528,90.432,90.432,87.12,87.12,78.624,78.624,88.2,88.2,89.784,89.784,107.28,107.28,109.152,109.152,136.08,136.08,157.176,157.176,169.128,169.128,189.072,189.072,183.528,183.528,185.688,185.688,192.6,192.6,183.096,183.096,180,180,181.512,181.512,188.064,188.064,177.408,177.408,179.136,179.136,179.568,179.568,181.368,181.368,178.2,178.2,172.8,172.8,163.8,163.8,156.888,156.888,150.696,150.696,151.56,151.56,133.128,133.128,139.752,139.752,134.424,134.424,134.784,134.784,120.96,120.96,115.2,115.2,121.248,121.248,107.64,107.64,116.856,116.856,92.664,92.664,102.528,102.528,91.872,91.872
"August 26, 2011",0028931680_02,9575_Partners_LLC,KW,92.376,92.376,77.472,77.472,83.016,83.016,73.728,73.728,78.192,78.192,74.88,74.88,84.096,84.096,74.16,74.16,79.416,79.416,79.488,79.488,83.16,83.16,77.76,77.76,95.328,95.328,95.688,95.688,113.904,113.904,124.776,124.776,170.064,170.064,172.296,172.296,181.44,181.44,197.496,197.496,188.352,188.352,192.96,192.96,200.16,200.16,191.592,191.592,187.488,187.488,194.904,194.904,192.168,192.168,186.984,186.984,187.848,187.848,191.376,191.376,182.448,182.448,175.176,175.176,170.136,170.136,159.48,159.48,148.968,148.968,151.92,151.92,142.416,142.416,149.544,149.544,142.92,142.92,153.504,153.504,135.792,135.792,128.664,128.664,120.816,120.816,121.968,121.968,103.752,103.752,108.648,108.648,105.336,105.336,94.824,94.824
"August 27, 2011",0028931680_02,9575_Partners_LLC,KW,92.52,92.52,81.432,81.432,91.08,91.08,83.808,83.808,87.336,87.336,83.232,83.232,88.2,88.2,77.472,77.472,73.368,73.368,84.096,84.096,73.728,73.728,77.832,77.832,79.992,79.992,75.672,75.672,81.576,81.576,75.528,75.528,95.76,95.76,91.512,91.512,87.408,87.408,86.832,86.832,88.56,88.56,84.96,84.96,93.312,93.312,92.304,92.304,86.832,86.832,85.68,85.68,90.072,90.072,82.8,82.8,83.88,83.88,84.24,84.24,83.016,83.016,85.536,85.536,90.792,90.792,89.424,89.424,79.056,79.056,78.48,78.48,90.432,90.432,75.6,75.6,87.84,87.84,99.072,99.072,90.576,90.576,100.296,100.296,88.56,88.56,92.376,92.376,97.632,97.632,81.288,81.288,95.904,95.904,82.944,82.944
"August 28, 2011",0028931680_02,9575_Partners_LLC,KW,80.424,80.424,90.576,90.576,80.352,80.352,93.456,93.456,84.744,84.744,85.968,85.968,87.984,87.984,79.704,79.704,92.376,92.376,85.176,85.176,91.44,91.44,82.8,82.8,85.968,85.968,88.632,88.632,82.584,82.584,88.632,88.632,79.272,79.272,88.2,88.2,86.04,86.04,83.52,83.52,94.896,94.896,90.576,90.576,79.704,79.704,85.32,85.32,97.632,97.632,87.552,87.552,91.944,91.944,97.776,97.776,85.608,85.608,88.848,88.848,95.184,95.184,89.856,89.856,95.328,95.328,93.096,93.096,105.336,105.336,88.344,88.344,87.264,87.264,93.96,93.96,87.192,87.192,94.176,94.176,95.76,95.76,86.616,86.616,98.064,98.064,82.368,82.368,86.04,86.04,85.896,85.896,76.68,76.68,88.272,88.272
"August 29, 2011",0028931680_02,9575_Partners_LLC,KW,79.776,79.776,85.68,85.68,84.744,84.744,79.488,79.488,86.616,86.616,78.768,78.768,91.008,91.008,81.792,81.792,85.32,85.32,81,81,80.712,80.712,91.728,91.728,94.824,94.824,113.472,113.472,116.064,116.064,152.424,152.424,181.8,181.8,189.288,189.288,201.384,201.384,211.752,211.752,203.688,203.688,206.856,206.856,207.072,207.072,203.616,203.616,209.52,209.52,203.976,203.976,199.44,199.44,197.28,197.28,198.576,198.576,193.464,193.464,194.76,194.76,195.84,195.84,189.72,189.72,175.32,175.32,162.216,162.216,155.16,155.16,148.68,148.68,152.568,152.568,148.608,148.608,151.848,151.848,136.8,136.8,130.68,130.68,123.984,123.984,132.552,132.552,115.056,115.056,113.184,113.184,106.776,106.776,94.608,94.608
"August 30, 2011",0028931680_02,9575_Partners_LLC,KW,94.752,94.752,76.968,76.968,75.96,75.96,87.192,87.192,76.248,76.248,78.552,78.552,89.208,89.208,77.688,77.688,85.464,85.464,79.128,79.128,80.856,80.856,88.056,88.056,89.856,89.856,110.664,110.664,122.112,122.112,139.752,139.752,175.104,175.104,183.6,183.6,192.6,192.6,195.48,195.48,195.624,195.624,193.32,193.32,192.384,192.384,190.08,190.08,191.88,191.88,190.656,190.656,193.464,193.464,193.896,193.896,194.904,194.904,192.672,192.672,189.144,189.144,188.928,188.928,181.512,181.512,169.488,169.488,161.784,161.784,156.168,156.168,149.688,149.688,150.984,150.984,148.104,148.104,151.56,151.56,132.624,132.624,131.112,131.112,136.584,136.584,129.528,129.528,121.32,121.32,105.336,105.336,110.592,110.592,93.528,93.528
